station_id,name,latitude,longitude,town,num_connections,connector_type,power_kw
309267,JW Marriott,12.97228768658023,77.59492658243641,Bengaluru,1,CCS (Type 2),60.0
309268,Sundaram Motors,12.973845154518216,77.59597891080779,Bengaluru,1,CCS (Type 2),90.0
309097,ibis Bengaluru City Centre,12.96751,77.5939,Bengaluru,1,CCS (Type 2),60.0
309099,ITC Gardenia Bengaluru,12.96728,77.59552,Bengaluru,1,CCS (Type 2),30.0
309270,BMW Navnit Motors,12.97259859569182,77.59908118684689,Bengaluru,1,CCS (Type 2),24.0
103614,Ather Grid Point - 6000 Miles to Isle of Man,12.9756828,77.5982326000001,Bengaluru,1,Type M,3.0
309269,Hotel Southern Star,12.974727464060706,77.59942186908683,Bengaluru,1,CCS (Type 2),30.0
309266,Audi Central,12.97001545590929,77.6004747835533,Bengaluru,1,CCS (Type 2),60.0
103746,BESCOM Head Office,12.9755314120859,77.5883364581665,Bengaluru,2,CHAdeMO,
309098,Divyasree Chambers,12.96192,77.59922,Bengaluru,1,CCS (Type 2),60.0
309271,Forum Rex Walk,12.972458,77.606851,Bengaluru,4,CCS (Type 2),30.0
309272,Vivanta by Taj Residency Road,12.97248838809081,77.60854161055966,Bengaluru,2,CCS (Type 2),30.0
309319,Freedom Park,12.97859,77.58139,Bengaluru,1,CCS (Type 2),25.0
472508,Charging station,12.960850473046193,77.58182473802742,,1,CCS (Type 2),
309273,Welcomhotel Richmond Road,12.968709974182843,77.61440938105488,Bengaluru,1,CCS (Type 2),60.0
308804,The Rialto Hotel,12.98026,77.57661,Bengaluru,1,Type 2 (Tethered Connector) ,7.0
308757,Renaissance Bengaluru Race Course Hotel,12.98439,77.57639,Bengaluru,1,CCS (Type 2),60.0
309293,"The Oberoi, Bengaluru",12.972788253204087,77.6184047836071,Bengaluru,1,CCS (Type 2),60.0
309294,Taj MG Road,12.97331434540071,77.6195781000381,Bengaluru,2,CCS (Type 2),30.0
308805,Radisson Bengaluru City Center,12.97622,77.61948,Bengaluru,1,Type 2 (Tethered Connector) ,22.0
309295,The Park Hotel,12.973940635420362,77.61988884794027,Bengaluru,2,CCS (Type 2),30.0
309296,Carzonrent,12.974519436687544,77.62146110718822,Bengaluru,2,CCS (Type 2),60.0
103606,Ather Grid Point - Moto Store & Cafe,12.9875541362772,77.6208706943579,Bangalore,1,Unknown,3.0
308806,RMZ MILLENIA,12.98247,77.62461,Bengaluru,1,CCS (Type 2),24.0
309320,"Global Mall, Okalipuram",12.98211,77.56317,Bengaluru,2,CCS (Type 2),30.0
308809,Nexus Mall Koramangala,12.93484,77.6118,Bengaluru,2,CCS (Type 2),24.0
103613,Ather Grid Point - Sunny Side Bistro,13.0018168,77.6235465,Bengaluru,1,Unknown,3.0
308803,GT World Mall,12.97396,77.55157,Bengaluru,1,Type 2 (Tethered Connector) ,22.0
103616,Ather Space,12.9756892941475,77.6412298094218,Bengaluru,1,Unknown,3.0
309189,Orion Avenue,13.001137938818005,77.63254,Bengaluru,2,CCS (Type 2),60.0
173082,Tata Fast Charger,12.952438850806772,77.63973152758626,Bangalore,1,CCS (Type 2),22.0
309297,Divyashree Greens,12.952724425242494,77.64085233195198,Bengaluru,1,CCS (Type 2),60.0
103612,Ather Grid Point - Patel's Inn,13.0212463,77.5980284,Bengaluru,1,Unknown,3.0
107668,AtherGrid Go Native Cafe,12.9224636436796,77.5846883396955,Bangalore,1,Unknown,2.0
308799,"Prerana Motors, Rajaji Nagar",12.99935,77.54971,Bengaluru,2,CCS (Type 2),25.0
308800,Orion Mall Outside,13.009553121997012,77.55461112998876,Bengaluru,3,CCS (Type 2),30.0
308801,Orion Brigade Gateway,13.01105,77.55471,Bengaluru,2,CCS (Type 2),60.0
308802,Sheraton Grand Bangalore Hotel at Brigade Gateway,13.01275,77.55504,Bengaluru,1,CCS (Type 2),30.0
309274,BESCOM Byatarayanapura,12.950278857508295,77.54055692747397,Bengaluru,1,CCS (Type 2),15.0
308810,Kabra Excelsior,12.92786,77.63306,Bengaluru,2,CCS (Type 2),24.0
103609,Ather Grid Point - Caf Eleven,12.9233342441394,77.5548753083467,Bengaluru,1,Unknown,3.0
103611,Ather Grid Point - Chapter One,13.0323019,77.5697127,Bengaluru,1,Unknown,3.0
308731,Shell Recharge Mysore Road,12.94696,77.53247,Bengaluru,4,CCS (Type 2),120.0
309351,Lithium Charging Station,13.014903182800126,77.6462047089708,Bengaluru,1,CCS (Type 2),30.0
